Tanggal,Harga_CPO,Harga_Kernel,Indeks_K,Harga_TBS
24/05/2023,"10,087.19","5,318.37",89.85,"2,246.64"
31/05/2023,"10,085.97","5,729.19",89.85,"2,265.01"
7/6/2023,"9,814.18","5,222.54",89.85,"2,188.29"
14/06/2023,"10,132.55","4,788.83",91.64,"2,304.60"
21/06/2023,"10,668.27","4,457.31",91.64,"2,397.90"
28/06/2023,"10,701.18","4,922.24",91.64,"2,426.31"
5/7/2023,"10,947.57","4,930.71",91.64,"2,476.75"
12/7/2023,"10,877.69","4,851.97",90.93,"2,441.13"
19/07/2023,"11,024.38","5,072.01",90.93,"2,480.89"
26/07/2023,"11,158.81","5,318.84",90.93,"2,519.43"
2/8/2023,"10,889.65","5,357.53",90.93,"2,466.98"
9/8/2023,"10,797.02","5,010.22",90.93,"2,432.21"
16/08/2023,"11,056.68","5,360.91",92.67,"2,546.87"
23/08/2023,"11,161.23","5,189.07",92.67,"2,560.22"
30/08/2023,"11,350.92","4,770.96",92.67,"2,579.42"
6/9/2023,"11,058.44","5,013.77",92.67,"2,530.83"
13/09/2023,"10,802.93","5,169.91",91.78,"2,459.57"
20/09/2023,"10,776.69","4,715.04",91.78,"2,432.94"
27/09/2023,"10,801.98","5,342.22",91.78,"2,467.44"
4/10/2023,"10,819.93","5,030.90",91.78,"2,456.52"
11/10/2023,"10,708.96","5,306.12",91.61,"2,441.21"
18/10/2023,"11,146.99","5,076.45",91.61,"2,519.40"
25/10/2023,"10,983.27","4,460.26",91.61,"2,457.38"
1/11/2023,"11,128.51","4,559.15",91.61,"2,491.48"
8/11/2023,"11,172.18","5,331.75",91.61,"2,536.44"
15/11/2023,"11,443.17","5,522.06",91.93,"2,608.35"
22/11/2023,"11,496.87","5,428.23",91.93,"2,614.89"
29/11/2023,"11,279.85","5,215.65",91.93,"2,560.71"
6/12/2023,"11,016.06","5,312.76",91.93,"2,511.52"
13/12/2023,"11,134.81","5,317.90",91.93,"2,533.09"
20/12/2023,"11,262.88","5,370.03",91.93,"2,561.63"
3/1/2024,"11,196.13","5,418.86",91.93,"2,550.32"
10/1/2024,"11,588.23","5,486.92",90.66,"2,597.33"
17/01/2024,"11,882.22","5,910.46",90.66,"2,675.97"
24/01/2024,"12,154.23","5,814.49",90.66,"2,726.18"
7/2/2024,"11,696.59","5,926.37",90.66,"2,639.42"
14/02/2024,"11,665.44","6,118.56",90.66,"2,642.04"
21/02/2024,"11,781.26","6,096.57",90.63,"2,664.75"
28/02/2024,"12,053.49","6,028.04",90.63,"2,716.26"
6/3/2024,"12,241.61","6,221.20",90.63,"2,762.97"
20/03/2024,"12,893.94","6,480.79",90.6,"2,907.07"
27/03/2024,"13,113.94","6,601.88",90.6,"2,956.83"
3/4/2024,"13,076.54","7,013.90",90.6,"2,968.36"
24/04/2024,"12,544.77","7,488.77",91.4,"2,912.28"
1/5/2024,"12,206.36","7,482.59",91.4,"2,843.45"
8/5/2024,"12,018.71","7,501.62",91.4,"2,806.33"
15/05/2024,"12,114.27","7,398.71",91.4,"2,820.89"
22/05/2024,"12,080.46","7,451.59",91.49,"2,819.55"
29/05/2024,"12,180.48","7,620.44",91.49,"2,847.70"
5/6/2024,"12,503.86","7,655.52",91.49,"2,914.91"
12/6/2024,"12,425.13","7,644.99",91.49,"2,899.39"
19/06/2024,"12,538.95","7,591.20",91.76,"2,924.72"
26/06/2024,"12,726.02","7,645.95",91.76,"2,965.32"
3/7/2024,"12,696.54","7,863.69",91.76,"2,969.51"
10/7/2024,"13,113.35","8,314.56",91.76,"3,075.36"
17/07/2024,"12,813.65","8,204.55",91.96,"3,015.14"
24/07/2024,"12,677.14","8,416.39",91.96,"2,995.22"
31/07/2024,"12,760.25","8,708.00",91.96,"3,027.87"
7/8/2024,"13,039.74","8,971.04",91.96,"3,097.17"
14/08/2024,"13,026.65","9,143.74",91.96,"3,102.60"
21/08/2024,"12,645.15","9,004.94",92.27,"3,028.26"
28/08/2024,"12,718.70","9,099.08",92.27,"3,047.73"
4/9/2024,"13,182.73","9,428.07",92.27,"3,158.10"
11/9/2024,"13,210.48","9,646.67",92.27,"3,174.06"
18/09/2024,"13,068.92","9,476.53",92.74,"3,154.27"
25/09/2024,"13,170.97","9,798.74",92.74,"3,190.48"
2/10/2024,"13,765.00","9,695.59",92.24,"3,203.22"
9/10/2024,"13,917.04","9,720.22",92.74,"3,340.10"
16/10/2024,"13,948.50","9,892.17",92.28,"3,336.43"
23/10/2024,"13,991.65","9,765.86",92.28,"3,339.31"
30/10/2024,"14,222.36","10,019.06",92.28,"3,398.40"
6/11/2024,"14,809.85","9,918.34",92.28,"3,513.79"
13/11/2024,"15,387.84","10,394.75",92.28,"3,654.40"
20/11/2024,"15,522.86","10,340.09",92.84,"3,703.46"
27/11/2024,"15,152.24","11,211.55",92.84,"3,668.47"
4/12/2024,"15,293.38","11,458.24",92.84,"3,709.19"
11/12/2024,"15,774.13","11,794.66",92.84,"3,824.03"
18/12/2024,"15,639.51","11,866.30",93.3,"3,819.14"
25/12/2024,"15,156.28","11,456.75",93.3,"3,699.75"
